cod_siafi_municipio,municipio,uf,estado,data_emissao,moviment_liquida,moviment_liquida_acum,saldo,Unnamed: 0,code_muni,name_muni
1006,NOVA RAMADA,RS,RIO GRANDE DO SUL,16/04/2024,350000,700000,700000,285.0,4313334.0,NOVA RAMADA
1006,NOVA RAMADA,RS,RIO GRANDE DO SUL,24/04/2024,238750,477500,477500,285.0,4313334.0,NOVA RAMADA
1008,NOVO CABRAIS,RS,RIO GRANDE DO SUL,16/04/2024,340000,680000,680000,288.0,4313391.0,NOVO CABRAIS
1008,NOVO CABRAIS,RS,RIO GRANDE DO SUL,08/05/2024,83953,83953,83953,288.0,4313391.0,NOVO CABRAIS
1010,PASSA SETE,RS,RIO GRANDE DO SUL,23/04/2024,1000000,2000000,2000000,305.0,4314068.0,PASSA SETE
1012,SENADOR SALGADO FILHO,RS,RIO GRANDE DO SUL,16/04/2024,150000,300000,300000,428.0,4320321.0,SENADOR SALGADO FILHO
1012,SENADOR SALGADO FILHO,RS,RIO GRANDE DO SUL,08/05/2024,384205,384205,384205,428.0,4320321.0,SENADOR SALGADO FILHO
1014,SETE DE SETEMBRO,RS,RIO GRANDE DO SUL,24/04/2024,540000,1080000,1080000,434.0,4320578.0,SETE DE SETEMBRO
1016,TABAI,RS,RIO GRANDE DO SUL,16/04/2024,100000,200000,200000,440.0,4320859.0,TABAI
1016,TABAI,RS,RIO GRANDE DO SUL,08/05/2024,239282,239282,239282,440.0,4320859.0,TABAI
1018,TOROPI,RS,RIO GRANDE DO SUL,23/04/2024,250000,500000,500000,453.0,4321493.0,TOROPI
1020,TURUCU,RS,RIO GRANDE DO SUL,08/04/2024,191000,382000,382000,472.0,4322327.0,TURUCU
1020,TURUCU,RS,RIO GRANDE DO SUL,16/04/2024,100000,200000,200000,472.0,4322327.0,TURUCU
1020,TURUCU,RS,RIO GRANDE DO SUL,23/04/2024,350000,700000,700000,472.0,4322327.0,TURUCU
1022,UBIRETAMA,RS,RIO GRANDE DO SUL,12/04/2024,238750,477500,477500,473.0,4322343.0,UBIRETAMA
1022,UBIRETAMA,RS,RIO GRANDE DO SUL,22/04/2024,100000,200000,200000,473.0,4322343.0,UBIRETAMA
1022,UBIRETAMA,RS,RIO GRANDE DO SUL,23/04/2024,300000,600000,600000,473.0,4322343.0,UBIRETAMA
1026,VALE VERDE,RS,RIO GRANDE DO SUL,16/04/2024,530000,1060000,1060000,478.0,4322525.0,VALE VERDE
1028,VESPASIANO CORREA,RS,RIO GRANDE DO SUL,24/04/2024,150000,300000,300000,485.0,4322855.0,VESPASIANO CORREA
1030,VILA LANGARO,RS,RIO GRANDE DO SUL,22/04/2024,200000,400000,400000,491.0,4323358.0,VILA LANGARO
1030,VILA LANGARO,RS,RIO GRANDE DO SUL,23/04/2024,50000,100000,100000,491.0,4323358.0,VILA LANGARO
1118,ACEGUA,RS,RIO GRANDE DO SUL,16/04/2024,300000,600000,600000,3.0,4300034.0,ACEGUA
1118,ACEGUA,RS,RIO GRANDE DO SUL,23/04/2024,100000,200000,200000,3.0,4300034.0,ACEGUA
1118,ACEGUA,RS,RIO GRANDE DO SUL,08/05/2024,323812,323812,323812,3.0,4300034.0,ACEGUA
1122,ARROIO DO PADRE,RS,RIO GRANDE DO SUL,08/05/2024,200000,200000,200000,25.0,4301073.0,ARROIO DO PADRE
1124,BOA VISTA DO CADEADO,RS,RIO GRANDE DO SUL,08/05/2024,392287,392287,392287,48.0,4302220.0,BOA VISTA DO CADEADO
1126,BOA VISTA DO INCRA,RS,RIO GRANDE DO SUL,24/04/2024,250000,500000,500000,49.0,4302238.0,BOA VISTA DO INCRA
1126,BOA VISTA DO INCRA,RS,RIO GRANDE DO SUL,08/05/2024,99945,99945,99945,49.0,4302238.0,BOA VISTA DO INCRA
1128,BOZANO,RS,RIO GRANDE DO SUL,17/04/2024,238750,477500,477500,57.0,4302584.0,BOZANO
1130,CANUDOS DO VALE,RS,RIO GRANDE DO SUL,08/04/2024,353350,706700,706700,83.0,4304614.0,CANUDOS DO VALE
1130,CANUDOS DO VALE,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,83.0,4304614.0,CANUDOS DO VALE
1134,CAPAO DO CIPO,RS,RIO GRANDE DO SUL,24/04/2024,500000,1000000,1000000,86.0,4304655.0,CAPAO DO CIPO
1134,CAPAO DO CIPO,RS,RIO GRANDE DO SUL,08/05/2024,83953,83953,83953,86.0,4304655.0,CAPAO DO CIPO
1136,COQUEIRO BAIXO,RS,RIO GRANDE DO SUL,16/04/2024,200000,400000,400000,117.0,4305835.0,COQUEIRO BAIXO
1136,COQUEIRO BAIXO,RS,RIO GRANDE DO SUL,22/04/2024,37648,75296,75296,117.0,4305835.0,COQUEIRO BAIXO
1136,COQUEIRO BAIXO,RS,RIO GRANDE DO SUL,23/04/2024,200000,400000,400000,117.0,4305835.0,COQUEIRO BAIXO
1138,CORONEL PILAR,RS,RIO GRANDE DO SUL,12/04/2024,286500,573000,573000,121.0,4305934.0,CORONEL PILAR
1138,CORONEL PILAR,RS,RIO GRANDE DO SUL,16/04/2024,227078,454156,454156,121.0,4305934.0,CORONEL PILAR
1140,CRUZALTENSE,RS,RIO GRANDE DO SUL,17/04/2024,238750,477500,477500,128.0,4306130.0,CRUZALTENSE
1140,CRUZALTENSE,RS,RIO GRANDE DO SUL,24/04/2024,400000,800000,800000,128.0,4306130.0,CRUZALTENSE
1142,FORQUETINHA,RS,RIO GRANDE DO SUL,16/04/2024,200000,400000,400000,174.0,4308433.0,FORQUETINHA
1142,FORQUETINHA,RS,RIO GRANDE DO SUL,23/04/2024,395705,791410,791410,174.0,4308433.0,FORQUETINHA
1142,FORQUETINHA,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,174.0,4308433.0,FORQUETINHA
1144,ITATI,RS,RIO GRANDE DO SUL,16/04/2024,350000,700000,700000,217.0,4310652.0,ITATI
1148,LAGOA BONITA DO SUL,RS,RIO GRANDE DO SUL,22/04/2024,200000,400000,400000,230.0,4311239.0,LAGOA BONITA DO SUL
1150,MATO QUEIMADO,RS,RIO GRANDE DO SUL,22/04/2024,100000,200000,200000,254.0,4312179.0,MATO QUEIMADO
1152,NOVO XINGU,RS,RIO GRANDE DO SUL,16/04/2024,619782,1239564,1239564,292.0,4313466.0,NOVO XINGU
1152,NOVO XINGU,RS,RIO GRANDE DO SUL,08/05/2024,413275,413275,413275,292.0,4313466.0,NOVO XINGU
1154,PAULO BENTO,RS,RIO GRANDE DO SUL,16/04/2024,489079,978158,978158,308.0,4314134.0,PAULO BENTO
1156,PEDRAS ALTAS,RS,RIO GRANDE DO SUL,16/04/2024,431953,863906,863906,310.0,4314175.0,PEDRAS ALTAS
1156,PEDRAS ALTAS,RS,RIO GRANDE DO SUL,23/04/2024,100000,200000,200000,310.0,4314175.0,PEDRAS ALTAS
1158,PINHAL DA SERRA,RS,RIO GRANDE DO SUL,22/04/2024,100000,200000,200000,316.0,4314464.0,PINHAL DA SERRA
1158,PINHAL DA SERRA,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,316.0,4314464.0,PINHAL DA SERRA
1160,PINTO BANDEIRA,RS,RIO GRANDE DO SUL,24/04/2024,270000,540000,540000,320.0,4314548.0,PINTO BANDEIRA
1162,QUATRO IRMAOS,RS,RIO GRANDE DO SUL,23/04/2024,150000,300000,300000,339.0,4315313.0,QUATRO IRMAOS
1162,QUATRO IRMAOS,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,339.0,4315313.0,QUATRO IRMAOS
1164,ROLADOR,RS,RIO GRANDE DO SUL,16/04/2024,500000,1000000,1000000,351.0,4315958.0,ROLADOR
1166,SANTA CECILIA DO SUL,RS,RIO GRANDE DO SUL,16/04/2024,300000,600000,600000,364.0,4316733.0,SANTA CECILIA DO SUL
1166,SANTA CECILIA DO SUL,RS,RIO GRANDE DO SUL,23/04/2024,104420,208840,208840,364.0,4316733.0,SANTA CECILIA DO SUL
1174,TIO HUGO,RS,RIO GRANDE DO SUL,16/04/2024,300000,600000,600000,451.0,4321469.0,TIO HUGO
1174,TIO HUGO,RS,RIO GRANDE DO SUL,08/05/2024,15575,15575,15575,451.0,4321469.0,TIO HUGO
1176,WESTFALIA,RS,RIO GRANDE DO SUL,24/04/2024,350000,700000,700000,498.0,4323770.0,WESTFALIA
5757,NOVA SANTA RITA,RS,RIO GRANDE DO SUL,24/04/2024,1690000,3380000,3380000,287.0,4313375.0,NOVA SANTA RITA
5759,MARIANA PIMENTEL,RS,RIO GRANDE DO SUL,16/04/2024,478756,957512,957512,248.0,4311981.0,MARIANA PIMENTEL
5761,SERTAO SANTANA,RS,RIO GRANDE DO SUL,16/04/2024,170000,340000,340000,433.0,4320552.0,SERTAO SANTANA
5761,SERTAO SANTANA,RS,RIO GRANDE DO SUL,08/05/2024,323812,323812,323812,433.0,4320552.0,SERTAO SANTANA
5763,GRAMADO XAVIER,RS,RIO GRANDE DO SUL,12/04/2024,191000,382000,382000,187.0,4309159.0,GRAMADO XAVIER
5763,GRAMADO XAVIER,RS,RIO GRANDE DO SUL,16/04/2024,200000,400000,400000,187.0,4309159.0,GRAMADO XAVIER
5763,GRAMADO XAVIER,RS,RIO GRANDE DO SUL,23/04/2024,635903,1271806,1271806,187.0,4309159.0,GRAMADO XAVIER
5763,GRAMADO XAVIER,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,187.0,4309159.0,GRAMADO XAVIER
5765,PASSO DO SOBRADO,RS,RIO GRANDE DO SUL,16/04/2024,250000,500000,500000,306.0,4314076.0,PASSO DO SOBRADO
5767,SINIMBU,RS,RIO GRANDE DO SUL,19/04/2024,413275,826550,826550,437.0,4320677.0,SINIMBU
5767,SINIMBU,RS,RIO GRANDE DO SUL,22/04/2024,450000,900000,900000,437.0,4320677.0,SINIMBU
5769,VALE DO SOL,RS,RIO GRANDE DO SUL,16/04/2024,450000,900000,900000,479.0,4322533.0,VALE DO SOL
5769,VALE DO SOL,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,479.0,4322533.0,VALE DO SOL
5771,BARAO DO TRIUNFO,RS,RIO GRANDE DO SUL,16/04/2024,150000,300000,300000,36.0,4301750.0,BARAO DO TRIUNFO
5771,BARAO DO TRIUNFO,RS,RIO GRANDE DO SUL,08/05/2024,85000,85000,85000,36.0,4301750.0,BARAO DO TRIUNFO
5773,MINAS DO LEAO,RS,RIO GRANDE DO SUL,23/04/2024,600000,1200000,1200000,256.0,4312252.0,MINAS DO LEAO
5775,MORRINHOS DO SUL,RS,RIO GRANDE DO SUL,24/04/2024,350000,700000,700000,263.0,4312443.0,MORRINHOS DO SUL
5777,TRES FORQUILHAS,RS,RIO GRANDE DO SUL,23/04/2024,100000,200000,200000,461.0,4321832.0,TRES FORQUILHAS
5779,ARAMBARE,RS,RIO GRANDE DO SUL,23/04/2024,100000,200000,200000,20.0,4300851.0,ARAMBARE
5779,ARAMBARE,RS,RIO GRANDE DO SUL,08/05/2024,484040,484040,484040,20.0,4300851.0,ARAMBARE
5781,SENTINELA DO SUL,RS,RIO GRANDE DO SUL,16/04/2024,640000,1280000,1280000,429.0,4320354.0,SENTINELA DO SUL
5783,MAQUINE,RS,RIO GRANDE DO SUL,16/04/2024,400000,800000,800000,244.0,4311775.0,MAQUINE
5783,MAQUINE,RS,RIO GRANDE DO SUL,22/04/2024,100000,200000,200000,244.0,4311775.0,MAQUINE
5783,MAQUINE,RS,RIO GRANDE DO SUL,08/05/2024,335000,335000,335000,244.0,4311775.0,MAQUINE
5785,XANGRI-LA,RS,RIO GRANDE DO SUL,16/04/2024,100000,200000,200000,,,
5785,XANGRI-LA,RS,RIO GRANDE DO SUL,23/04/2024,250000,500000,500000,,,
5787,PINHAL GRANDE,RS,RIO GRANDE DO SUL,08/04/2024,191000,382000,382000,317.0,4314472.0,PINHAL GRANDE
5787,PINHAL GRANDE,RS,RIO GRANDE DO SUL,24/04/2024,250000,500000,500000,317.0,4314472.0,PINHAL GRANDE
5787,PINHAL GRANDE,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,317.0,4314472.0,PINHAL GRANDE
5789,QUEVEDOS,RS,RIO GRANDE DO SUL,22/04/2024,120000,240000,240000,340.0,4315321.0,QUEVEDOS
5791,SAO JOAO DO POLESINE,RS,RIO GRANDE DO SUL,24/04/2024,387159,774318,774318,,,
5791,SAO JOAO DO POLESINE,RS,RIO GRANDE DO SUL,08/05/2024,239290,239290,239290,,,
5793,SAO MARTINHO DA SERRA,RS,RIO GRANDE DO SUL,16/04/2024,80000,160000,160000,406.0,4319125.0,SAO MARTINHO DA SERRA
5793,SAO MARTINHO DA SERRA,RS,RIO GRANDE DO SUL,23/04/2024,200000,400000,400000,406.0,4319125.0,SAO MARTINHO DA SERRA
5793,SAO MARTINHO DA SERRA,RS,RIO GRANDE DO SUL,09/05/2024,268358,268358,268358,406.0,4319125.0,SAO MARTINHO DA SERRA
5795,VILA NOVA DO SUL,RS,RIO GRANDE DO SUL,16/04/2024,430000,860000,860000,493.0,4323457.0,VILA NOVA DO SUL
5797,COXILHA,RS,RIO GRANDE DO SUL,17/04/2024,238750,477500,477500,123.0,4305975.0,COXILHA
5797,COXILHA,RS,RIO GRANDE DO SUL,24/04/2024,200000,400000,400000,123.0,4305975.0,COXILHA
5797,COXILHA,RS,RIO GRANDE DO SUL,08/05/2024,125000,125000,125000,123.0,4305975.0,COXILHA
5799,GENTIL,RS,RIO GRANDE DO SUL,24/04/2024,350000,700000,700000,181.0,4308854.0,GENTIL
5931,MATO CASTELHANO,RS,RIO GRANDE DO SUL,16/04/2024,150000,300000,300000,252.0,4312138.0,MATO CASTELHANO
5931,MATO CASTELHANO,RS,RIO GRANDE DO SUL,17/04/2024,238750,477500,477500,252.0,4312138.0,MATO CASTELHANO
5931,MATO CASTELHANO,RS,RIO GRANDE DO SUL,22/04/2024,100000,200000,200000,252.0,4312138.0,MATO CASTELHANO
5931,MATO CASTELHANO,RS,RIO GRANDE DO SUL,23/04/2024,200000,400000,400000,252.0,4312138.0,MATO CASTELHANO
5935,MULITERNO,RS,RIO GRANDE DO SUL,24/04/2024,150000,300000,300000,269.0,4312625.0,MULITERNO
5937,NICOLAU VERGUEIRO,RS,RIO GRANDE DO SUL,24/04/2024,120000,240000,240000,271.0,4312674.0,NICOLAU VERGUEIRO
5937,NICOLAU VERGUEIRO,RS,RIO GRANDE DO SUL,26/04/2024,422965,845930,845930,271.0,4312674.0,NICOLAU VERGUEIRO
5939,PONTAO,RS,RIO GRANDE DO SUL,16/04/2024,1000000,2000000,2000000,325.0,4314779.0,PONTAO
5939,PONTAO,RS,RIO GRANDE DO SUL,30/04/2024,40350,80700,80700,325.0,4314779.0,PONTAO
5939,PONTAO,RS,RIO GRANDE DO SUL,08/05/2024,563052,563052,563052,325.0,4314779.0,PONTAO
5941,SANTO ANTONIO DO PALMA,RS,RIO GRANDE DO SUL,23/04/2024,300000,600000,600000,377.0,4317558.0,SANTO ANTONIO DO PALMA
5943,BARRA FUNDA,RS,RIO GRANDE DO SUL,16/04/2024,350000,700000,700000,42.0,4301958.0,BARRA FUNDA
5945,COQUEIROS DO SUL,RS,RIO GRANDE DO SUL,16/04/2024,220000,440000,440000,118.0,4305850.0,COQUEIROS DO SUL
5945,COQUEIROS DO SUL,RS,RIO GRANDE DO SUL,08/05/2024,304800,304800,304800,118.0,4305850.0,COQUEIROS DO SUL
5947,ENGENHO VELHO,RS,RIO GRANDE DO SUL,19/04/2024,422965,845930,845930,146.0,4306924.0,ENGENHO VELHO
5947,ENGENHO VELHO,RS,RIO GRANDE DO SUL,24/04/2024,510535,1021070,1021070,146.0,4306924.0,ENGENHO VELHO
5947,ENGENHO VELHO,RS,RIO GRANDE DO SUL,08/05/2024,99945,99945,99945,146.0,4306924.0,ENGENHO VELHO
5951,LAGOA DOS TRES CANTOS,RS,RIO GRANDE DO SUL,25/04/2024,413275,826550,826550,232.0,4311270.0,LAGOA DOS TRES CANTOS
5953,NOVA BOA VISTA,RS,RIO GRANDE DO SUL,16/04/2024,100000,200000,200000,276.0,4312955.0,NOVA BOA VISTA
5953,NOVA BOA VISTA,RS,RIO GRANDE DO SUL,19/04/2024,413275,826550,826550,276.0,4312955.0,NOVA BOA VISTA
5953,NOVA BOA VISTA,RS,RIO GRANDE DO SUL,30/04/2024,323812,647624,647624,276.0,4312955.0,NOVA BOA VISTA
5953,NOVA BOA VISTA,RS,RIO GRANDE DO SUL,08/05/2024,23671,23671,23671,276.0,4312955.0,NOVA BOA VISTA
5955,RIO DOS INDIOS,RS,RIO GRANDE DO SUL,17/04/2024,286500,573000,573000,345.0,4315552.0,RIO DOS INDIOS
5955,RIO DOS INDIOS,RS,RIO GRANDE DO SUL,24/04/2024,100000,200000,200000,345.0,4315552.0,RIO DOS INDIOS
5957,SANTO ANTONIO DO PLANALTO,RS,RIO GRANDE DO SUL,16/04/2024,300000,600000,600000,380.0,4317756.0,SANTO ANTONIO DO PLANALTO
5957,SANTO ANTONIO DO PLANALTO,RS,RIO GRANDE DO SUL,22/04/2024,382000,764000,764000,380.0,4317756.0,SANTO ANTONIO DO PLANALTO
5957,SANTO ANTONIO DO PLANALTO,RS,RIO GRANDE DO SUL,08/05/2024,247283,247283,247283,380.0,4317756.0,SANTO ANTONIO DO PLANALTO
5959,BARRA DO RIO AZUL,RS,RIO GRANDE DO SUL,24/04/2024,600000,1200000,1200000,41.0,4301925.0,BARRA DO RIO AZUL
5959,BARRA DO RIO AZUL,RS,RIO GRANDE DO SUL,08/05/2024,249869,249869,249869,41.0,4301925.0,BARRA DO RIO AZUL
5961,CARLOS GOMES,RS,RIO GRANDE DO SUL,16/04/2024,485000,970000,970000,94.0,4304853.0,CARLOS GOMES
5961,CARLOS GOMES,RS,RIO GRANDE DO SUL,08/05/2024,384205,384205,384205,94.0,4304853.0,CARLOS GOMES
5963,CENTENARIO,RS,RIO GRANDE DO SUL,24/04/2024,630000,1260000,1260000,99.0,4305116.0,CENTENARIO
5965,CHARRUA,RS,RIO GRANDE DO SUL,24/04/2024,150000,300000,300000,107.0,4305371.0,CHARRUA
5965,CHARRUA,RS,RIO GRANDE DO SUL,08/05/2024,528172,528172,528172,107.0,4305371.0,CHARRUA
5967,PONTE PRETA,RS,RIO GRANDE DO SUL,24/04/2024,578311,1156622,1156622,326.0,4314787.0,PONTE PRETA
5967,PONTE PRETA,RS,RIO GRANDE DO SUL,08/05/2024,384205,384205,384205,326.0,4314787.0,PONTE PRETA
5969,AMETISTA DO SUL,RS,RIO GRANDE DO SUL,16/04/2024,100000,200000,200000,16.0,4300646.0,AMETISTA DO SUL
5969,AMETISTA DO SUL,RS,RIO GRANDE DO SUL,22/04/2024,200000,400000,400000,16.0,4300646.0,AMETISTA DO SUL
5969,AMETISTA DO SUL,RS,RIO GRANDE DO SUL,23/04/2024,600000,1200000,1200000,16.0,4300646.0,AMETISTA DO SUL
5969,AMETISTA DO SUL,RS,RIO GRANDE DO SUL,08/05/2024,250000,250000,250000,16.0,4300646.0,AMETISTA DO SUL
5971,DOIS IRMAOS DAS MISSOES,RS,RIO GRANDE DO SUL,23/04/2024,97533,195066,195066,135.0,4306429.0,DOIS IRMAOS DAS MISSOES
5973,NOVO TIRADENTES,RS,RIO GRANDE DO SUL,12/04/2024,238750,477500,477500,291.0,4313441.0,NOVO TIRADENTES
5973,NOVO TIRADENTES,RS,RIO GRANDE DO SUL,24/04/2024,330000,660000,660000,291.0,4313441.0,NOVO TIRADENTES
5975,PINHEIRINHO DO VALE,RS,RIO GRANDE DO SUL,16/04/2024,50000,100000,100000,318.0,4314498.0,PINHEIRINHO DO VALE
5975,PINHEIRINHO DO VALE,RS,RIO GRANDE DO SUL,17/04/2024,191000,382000,382000,318.0,4314498.0,PINHEIRINHO DO VALE
5975,PINHEIRINHO DO VALE,RS,RIO GRANDE DO SUL,22/04/2024,100000,200000,200000,318.0,4314498.0,PINHEIRINHO DO VALE
5975,PINHEIRINHO DO VALE,RS,RIO GRANDE DO SUL,23/04/2024,130000,260000,260000,318.0,4314498.0,PINHEIRINHO DO VALE
5979,TUPANCI DO SUL,RS,RIO GRANDE DO SUL,16/04/2024,51700,103400,103400,468.0,4322186.0,TUPANCI DO SUL
5979,TUPANCI DO SUL,RS,RIO GRANDE DO SUL,23/04/2024,350000,700000,700000,468.0,4322186.0,TUPANCI DO SUL
5981,BOA VISTA DAS MISSOES,RS,RIO GRANDE DO SUL,16/04/2024,100000,200000,200000,46.0,4302154.0,BOA VISTA DAS MISSOES
5983,LAJEADO DO BUGRE,RS,RIO GRANDE DO SUL,24/04/2024,300000,600000,600000,235.0,4311429.0,LAJEADO DO BUGRE
5985,NOVO BARREIRO,RS,RIO GRANDE DO SUL,16/04/2024,350000,700000,700000,293.0,4313490.0,NOVO BARREIRO
5987,SAGRADA FAMILIA,RS,RIO GRANDE DO SUL,16/04/2024,500000,1000000,1000000,357.0,4316428.0,SAGRADA FAMILIA
5987,SAGRADA FAMILIA,RS,RIO GRANDE DO SUL,24/04/2024,100000,200000,200000,357.0,4316428.0,SAGRADA FAMILIA
5989,SAO JOSE DAS MISSOES,RS,RIO GRANDE DO SUL,16/04/2024,100000,200000,200000,,,
5991,NOVA PADUA,RS,RIO GRANDE DO SUL,23/04/2024,206000,412000,412000,281.0,4313086.0,NOVA PADUA
5993,MONTE BELO DO SUL,RS,RIO GRANDE DO SUL,24/04/2024,550000,1100000,1100000,260.0,4312385.0,MONTE BELO DO SUL
